GeneName	LP1	LP2	LP3	LP4
thrL	19	14	18	8
thrA	142	195	139	174
thrB	584	524	413	260
thrC	946	908	690	559
yaaX	33	32	24	20
yaaA	249	244	155	245
yaaJ	381	328	285	132
talB	9283	10175	7948	7105
mog	385	389	345	324
satP	80	76	61	73
yaaW	5	5	2	4
yaaI	3	0	3	4
dnaK	3693	4020	2902	3704
dnaJ	629	613	450	679
insL1	31	30	28	39
mokC	4	3	2	0
hokC	0	0	0	0
sokC	2	2	1	0
nhaA	608	570	436	651
nhaR	215	187	121	199
insB1	427	213	166	305
insA	41	38	29	32
rpsT	2303	1571	1213	2539
yaaY	11	14	16	18
ribF	891	769	619	881
ileS	2579	2802	2069	3244
lspA	305	266	216	367
fkpB	161	153	119	209
ispH	335	271	223	457
rihC	1785	1955	1751	1130
dapB	380	416	326	350
carA	66	71	49	148
carB	232	227	227	385
caiF	167	229	175	97
caiE	7	8	8	6
caiD	8	10	4	3
caiC	26	46	32	53
caiB	42	25	23	41
caiA	72	76	57	60
caiT	5	1	6	2
fixA	6	3	3	3
fixB	9	3	2	3
fixC	8	5	4	2
fixX	0	0	0	2
yaaU	2	4	1	5
kefF	10	23	23	17
kefC	67	100	63	68
folA	170	161	112	236
apaH	242	234	191	268
apaG	139	101	90	129
rsmA	706	634	510	858
pdxA	423	441	337	536
surA	1429	1612	1164	1938
lptD	2178	1981	1650	2440
djlA	297	246	195	297
yabP	90	85	35	120
rluA	96	88	87	136
rapA	432	431	369	1026
polB	204	188	137	180
araD	18	21	12	7
araA	69	71	52	36
araB	42	24	30	14
araC	163	182	133	75
yabI	105	81	39	79
thiQ	14	20	16	25
thiP	24	18	15	35
thiB	110	79	61	149
sgrR	132	123	76	109
sgrS	0	0	0	0
sgrT	0	0	0	0
setA	70	53	45	63
leuD	19	30	12	16
leuC	30	30	29	26
leuB	33	28	22	23
leuA	27	34	16	26
leuL	0	1	1	0
leuO	21	22	24	19
ilvI	57	45	35	40
ilvH	12	9	7	8
cra	2183	2068	1829	1183
mraZ	494	404	303	350
rsmH	593	522	409	473
ftsL	122	124	91	122
ftsI	392	326	306	368
murE	710	719	538	657
murF	466	496	407	438
mraY	339	384	280	338
murD	616	598	503	554
ftsW	320	275	220	316
murG	676	682	578	511
murC	1101	1071	856	1013
ddlB	713	720	553	571
ftsQ	499	459	379	396
ftsA	685	614	468	581
ftsZ	3097	3306	2571	2582
lpxC	5826	5499	4333	6209
secM	531	423	357	447
secA	2345	2692	1913	3278
mutT	42	30	32	58
yacG	49	35	39	55
zapD	203	174	139	253
coaE	140	124	87	109
guaC	439	395	282	501
hofC	9	12	10	22
hofB	32	31	35	26
ppdD	3	3	2	1
nadC	317	299	272	260
ampD	320	357	288	234
ampE	570	616	449	352
aroP	123	103	96	121
pdhR	785	636	502	1832
aceE	13287	13745	10990	25961
aceF	9699	9851	7846	16427
lpd	7666	8195	6288	11848
yacH	25	27	22	21
acnB	9442	10598	8147	10712
yacL	234	273	282	148
speD	490	516	359	849
speE	540	516	410	884
yacC	127	66	67	84
cueO	429	437	318	324
gcd	186	157	133	596
hpt	561	575	430	721
can	457	446	334	685
yadG	254	247	189	269
yadH	193	229	187	187
yadI	151	159	118	43
yadE	111	64	58	97
panD	370	285	269	310
yadD	21	17	18	11
panC	1116	1146	942	965
panB	1082	1072	902	843
yadC	4	2	7	9
yadK	1	1	1	1
yadL	7	1	0	1
yadM	2	1	1	3
htrE	2	3	1	4
yadV	2	1	1	2
yadN	0	0	0	2
folK	40	30	29	33
pcnB	980	772	600	1568
gluQ	84	69	47	74
dksA	2030	2018	1595	1602
sfsA	550	432	425	295
ligT	69	44	41	42
hrpB	345	326	263	338
mrcB	478	495	414	605
fhuA	147	163	133	276
fhuC	46	34	31	53
fhuD	23	16	17	27
fhuB	40	49	38	77
hemL	1077	974	857	1005
clcA	372	301	224	231
erpA	178	148	107	253
yadS	37	36	19	57
btuF	95	70	61	103
mtn	809	830	695	700
dgt	246	276	192	183
degP	541	662	465	627
cdaR	241	259	208	126
yaeH	1230	1508	1232	686
yaeI	78	72	60	46
dapD	1822	1931	1455	1286
glnD	253	221	216	264
map	844	866	665	1111
tff	54	59	53	90
rpsB	11551	11355	8815	17468
tsf	6777	6954	5110	8532
pyrH	567	547	395	1018
frr	2508	2532	1998	3005
dxr	203	215	179	301
ispU	713	530	417	792
cdsA	542	498	363	675
rseP	872	831	617	1088
bamA	2983	3268	2402	3789
skp	2406	2599	2006	2372
lpxD	2049	1951	1478	2370
fabZ	717	686	448	980
lpxA	1373	1313	953	1664
lpxB	569	479	389	665
rnhB	232	173	135	235
dnaE	962	806	609	1314
accA	1198	1070	794	1760
ldcC	270	344	230	261
yaeR	68	80	64	51
tilS	129	133	111	171
rof	165	178	164	116
yaeP	148	153	174	90
yaeQ	205	228	182	187
arfB	88	76	72	97
nlpE	241	215	160	175
yaeF	32	24	10	18
proS	1738	1728	1384	2522
tsaA	126	83	75	165
rcsF	237	165	134	195
metQ	345	394	303	285
metI	68	77	55	97
metN	80	52	42	122
gmhB	473	401	322	361
rrsH	37	88	20	25
ileV	1	0	0	0
alaV	4	0	1	6
rrlH	13	35	4	11
rrfH	0	0	0	0
aspU	0	1	0	1
dkgB	42	39	36	37
yafC	107	91	87	65
yafD	328	304	256	157
yafE	50	35	29	41
mltD	1933	1305	1116	2305
gloB	148	188	137	136
yafS	161	127	110	98
rnhA	138	100	76	149
dnaQ	267	229	174	295
aspV	5	2	3	2
yafT	21	12	7	31
ykfM	1	2	0	2
