gene	WT untr 1	WT untr 2	WT untr 3
thrL	20	18	22
thrA	29088	23517	23936
thrB	4799	4222	3781
thrC	3386	3158	2720
yaaX	23	25	33
yaaA	283	239	231
yaaJ	17	10	30
talB	10479	9565	9197
mog	399	310	304
yaaH	20	17	17
yaaW	8	7	21
yaaI	0	0	1
dnaK	37248	26390	27791
dnaJ	1880	1421	1656
insL1a	2	0	1
mokC	13	24	22
hokC	0	0	0
sokC	2	0	0
nhaA	454	370	451
nhaR	162	168	167
insB1a	0	0	0
insAa	0	0	0
rpsT	7342	5686	5251
yaaY	0	4	1
ribF	1406	1181	1254
ileS	8154	6438	7016
lspA	285	209	268
fkpB	460	311	378
ispH	412	405	427
rihC	176	133	143
dapB	273	276	202
carA	12258	13770	7384
carB	13211	18218	7974
caiF	40	60	33
caiE	4	4	0
caiD	8	3	1
caiC	31	21	9
caiB	80	59	82
caiA	23	14	21
caiT	2	4	9
fixA	12	6	4
fixB	16	6	22
fixC	10	14	9
fixX	5	0	7
yaaU	14	15	19
kefF	61	36	41
kefC	208	138	181
folA	362	385	339
apaH	262	254	288
apaG	25	13	32
rsmA	199	165	162
pdxA	206	197	150
surA	8659	6353	8126
lptD	7878	6382	6781
djlA	97	85	85
yabP	215	249	321
rluA	108	46	79
rapA	1321	972	1114
polB	117	104	98
araD	0	1	4
araA	12	3	19
araB	5	6	16
araC	51	39	60
yabI	68	58	54
thiQ	162	126	112
thiP	397	372	438
thiB	1486	1351	1307
sgrR	142	102	108
sgrS	3	1	4
sgrT	0	0	0
setA	99	78	59
leuD	3981	2465	3984
leuC	10247	7001	9842
leuB	9342	6738	8915
leuA	6011	4075	6007
leuL	12	6	14
leuO	11	8	17
ilvI	2708	2147	2611
ilvH	933	872	827
cra	449	453	514
mraZ	875	824	834
rsmH	877	653	938
ftsL	179	133	191
ftsI	377	321	316
murE	873	811	869
murF	1320	1118	1358
mraY	670	652	711
murD	1064	946	912
ftsW	399	312	358
murG	267	221	241
murC	733	581	587
ddlB	2107	1560	1634
ftsQ	1065	853	997
ftsA	3191	2839	3019
ftsZ	7180	5813	6672
lpxC	4818	3764	4152
secM	222	174	195
secA	4216	3516	3767
mutT	79	70	80
yacG	74	57	86
zapD	300	284	249
coaE	260	206	260
guaC	1865	1674	2018
hofC	18	11	10
hofB	10	5	5
ppdD	0	0	3
nadC	288	263	249
ampD	27	27	45
ampE	130	68	74
aroP	1714	1447	1526
pdhR	1277	1362	1017
aceE	21728	20685	15138
aceF	2191	2031	1414
lpd	10842	10475	8630
yacH	11	2	3
acnB	22221	22726	17690
yacL	239	276	279
speD	1560	1456	1054
speE	1258	1257	917
yacC	132	85	108
cueO	549	385	310
gcd	1865	1349	2075
hpt	459	458	413
can	1579	1498	1512
yadG	578	532	556
yadH	394	274	335
yadI	55	27	66
yadE	3	12	18
panD	344	321	338
yadD	43	22	43
panC	2283	1800	2130
panB	486	493	415
yadC	9	8	10
yadK	3	0	1
yadL	36	30	37
yadM	13	4	13
htrE	3	9	7
yadV	0	0	0
yadN	0	2	0
folK	28	20	32
pcnB	1701	1297	1391
gluQ	72	59	70
dksA	1540	1052	1630
sfsA	304	214	438
ligT	177	136	162
hrpB	440	331	402
mrcB	1015	856	927
fhuA	3635	3056	3366
fhuC	256	205	255
fhuD	169	162	162
fhuB	213	234	234
hemL	601	504	660
clcA	319	231	339
erpA	881	912	786
yadS	85	47	56
btuF	55	54	50
mtn	1319	1415	1343
dgt	504	347	531
degP	1672	1079	1187
cdaR	49	57	68
yaeH	51	30	80
yaeI	18	23	18
dapD	988	1100	905
glnD	886	636	887
map	1102	1304	1096
tff	348	311	247
rpsB	20801	19303	14194
tsf	13821	14287	10923
pyrH	2379	1734	1721
frr	6800	8313	5923
dxr	387	307	300
ispU	488	453	387
cdsA	393	309	350
rseP	1943	1623	1751
bamA	6154	5118	5242
skp	1021	1030	958
lpxD	2204	1980	2021
fabZ	2266	1806	1866
lpxA	1440	1246	1300
lpxB	660	465	534
rnhB	465	344	322
dnaE	2253	2109	1964
accA	2249	2162	1995
ldcC	172	104	200
yaeR	96	104	124
tilS	585	475	464
rof	54	19	35
yaeP	454	328	586
