Gene_ID	1021_a	1021_b	1021_c
SMc02793	426.7036224	470.4538799	446.4106631
SMc02792	377.2784924	373.9282225	312.5896177
SMc02791	621.1091337	666.1139963	705.8804765
SMc02790	360.803449	373.0586219	373.8816996
SMc02789	1850.147366	1979.210778	1962.368155
SMc02788	899.537366	1015.693404	886.6921181
SMc02787	140.0378683	155.6584926	144.0363925
SMc02786	2143.403138	1940.078754	1759.08275
SMc02785	939.07747	1006.127799	1149.226536
SMc02784	329.5008667	393.0594338	446.4106631
SMc02783	128.505338	115.6568688	161.4024823
SMc02782	6043.045895	5992.417165	5988.236401
SMc02781	718.3118894	842.6429013	833.5723138
SMc02780	4672.32229	4737.583619	4676.585849
SMc02779	0	0	0
SMc02778	393.7535357	359.1450137	386.1401159
SMc02777	159.8079203	132.1792786	148.1225312
SMc02776	782.5645584	783.5100661	952.0703388
SMc02775	273.4857193	236.5313407	297.2665972
SMc02774	517.3163607	513.0643052	597.5977985
SMc02773	400.343553	354.7970111	385.1185812
SMc02772	224.0605893	243.4881449	203.285405
SMc02771	233.9456153	257.4017531	294.2019931
SMc02770	1060.992791	1111.349461	935.7257836
SMc02769	1917.695044	1452.232864	1564.991158
SMc02768	978.617574	882.6445251	1053.202274
SMc02767	609.5766034	626.981973	597.5977985
SMc02766	2841.944975	2991.42578	3114.659295
SMc02765	1968.767678	2220.959721	2382.218916
SMc02764	3782.66995	3756.674235	3566.177632
SMc02763	3094.013138	3243.60993	3432.356586
SMc02762	0	1.739201035	0
SMc02761	2736.504698	2527.059103	2356.680549
SMc02760	1935.817592	1960.949167	2186.084254
SMc02759	1891.334975	2135.738871	2067.586229
SMc02758	696.894333	662.6355942	696.6866642
SMc02757	1145.015512	1131.350273	1157.398813
SMc02756	3688.762203	3527.969299	3798.066008
SMc02755	7581.814942	7676.833367	6220.124778
SMc02754	342.6809014	320.8825909	297.2665972
SMc02753	551.9139517	559.1531327	469.9059612
SMc02752	113.677799	129.5704771	145.0579272
SMc04446	808.9246277	845.2517029	921.4242978
SMc02560	927.5449397	1060.912631	1030.728511
SMc02562	6990.360887	9459.514428	6622.609449
SMc02563	148.27539	176.528905	154.2517394
SMc02564	522.2588737	498.2810964	553.6718065
SMc02566	156.5129117	153.9192916	165.4886211
SMc02567	960.4950264	1006.997399	968.4148939
SMc02568	410.228579	378.2762251	420.8722957
SMc02569	963.790035	991.3445898	1115.51589
SMc02570	881.4148184	1058.30383	1113.472821
SMc02572	507.4313347	618.2859678	652.7606722
SMc02573	298.1982843	332.1873976	361.6232832
SMc02574	663.9442464	717.4204268	654.8037416
SMc02575	751.261976	690.4628108	1050.13767
SMc02576	573.331508	463.4970758	790.6678564
SMc02577	1416.853727	1223.527928	2010.380286
SMc02578	345.97591	380.0154261	357.5371444
SMc02579	640.8791857	593.0675528	634.3730476
SMc02580	846.8172274	1053.086227	1036.857719
SMc02581	2018.192808	2373.139812	2223.881038
SMc02582	1082.410347	1378.31682	1245.250797
SMc02583	962.1425307	857.4261101	1292.241393
SMc02584	4377.419014	3432.313242	5042.295271
SMc02585	2972.097817	2306.180572	3380.258317
SMc02586	649.1167074	826.1204915	861.1537506
SMc02587	200.9955287	215.6609283	247.211397
SMc02588	90.61273834	90.43845381	110.3257474
SMc02589	227.355598	212.1825262	199.1992662
SMc02676	6.590017334	3.478402069	2.043069397
SMc02621	0	0	0
SMc02622	0	0	0
SMc02668	54.367643	29.56641759	21.45222866
SMc02669	0	0.869600517	0
SMc02623	0	0	0
SMc02590	260.3056847	302.62098	272.7497644
SMc02591	90.61273834	120.0048714	120.5410944
SMc02592	141.6853727	143.4840854	159.3594129
SMc02593	189.4629983	190.4425133	174.6824334
SMc02594	82.37521667	83.48164967	109.3042127
SMc02595	196.0530157	156.5280931	143.0148578
SMc02596	149.9228943	131.3096781	152.20867
SMc04463	265.2481977	188.7033123	203.285405
SMc02600	390.458527	461.7578747	412.7000181
SMc02602	4.942513	12.17440724	14.30148578
SMc02604	49.42513	46.08882742	51.07673491
SMc02605	31.30258233	35.65362121	32.68911034
SMc02606	151.5703987	116.5264693	125.6487679
SMc02607	6.590017334	10.43520621	7.150742888
SMc02608	52.72013867	28.69681707	42.90445733
SMc02609	431.6461354	391.3202328	428.0230386
SMc02610	489.308787	453.9314701	458.6690795
SMc02611	301.493293	330.4481966	336.0849157
SMc02612	685.3618027	660.0267927	667.062158
SMc02613	278.4282323	307.8385831	281.9435767
SMc02614	13.18003467	16.52240983	17.36608987
SMc02615	37.89259967	56.52403363	82.74431056
SMc02616	51.07263434	53.91523208	63.33515129
SMc02617	11.53253033	4.348002587	13.27995108
SMc02618	14.827539	13.04400776	21.45222866
SMc02619	16.47504333	22.60961345	15.32302047
SMc02620	354.2134317	346.9706064	355.494075
SMc04154	62.60516467	46.08882742	41.88292263
SMc04153	186.1679897	202.6169205	177.7470375
SMc04152	64.252669	68.69844087	57.2059431
SMc04151	52.72013867	60.0024357	63.33515129
SMc04150	59.310156	69.56804139	70.48589418
SMc04149	174.6354593	127.8312761	128.713372
SMc04148	266.895702	270.4457609	224.7376336
SMc04147	69.195182	65.2200388	79.67970646
SMc04146	123.562825	109.5696652	119.5195597
SMc04145	82.37521667	73.91604398	78.65817177
SMc04144	97.20275567	106.0912631	125.6487679
SMc04143	322.9108493	448.713867	382.0539771
SMc04142	149.9228943	214.7913278	242.1037235
SMc04141	92.26024267	69.56804139	78.65817177
SMc04140	74.137695	94.78645639	83.76584526
SMc04139	75.78519934	67.82884035	82.74431056
SMc04138	56.01514734	74.78564449	80.70124116
SMc04137	29.655078	46.08882742	55.16287371
SMc04136	32.95008667	31.30561863	69.46435948
SMc04135	110.3827903	122.6136729	140.9717884
SMc04134	77.43270367	70.43764191	79.67970646
SMc04133	62.60516467	63.48083777	75.59356767
SMc04132	52.72013867	49.56722949	86.83044935
SMc04131	46.13012134	49.56722949	85.80891465
SMc04130	42.83511267	46.08882742	64.35668599
SMc04129	118.620312	119.1352709	133.8210455
SMc04128	2327.923623	2544.451114	2252.48401
SMc04127	904.479879	903.5149375	817.2277586
SMc04126	380.573501	419.1474494	391.2477894
SMc04125	317.9683363	360.8842147	387.1616506
SMc04124	248.7731543	244.3577454	233.9314459
SMc04123	350.918423	416.5386478	420.8722957
SMc04122	401.9910574	458.2794727	465.8198224
SMc04121	602.986586	676.5492025	548.564133
SMc04120	415.171092	417.4082483	380.0109078
SMc04119	365.745962	454.8010706	457.6475448
SMc04118	397.0485444	378.2762251	343.2356586
SMc04117	192.758007	286.9681707	178.7685722
SMc04116	0	0	0
SMc04115	405.286066	410.4514442	360.6017485
SMc04114	2797.462358	2332.268588	2414.908027
SMc04113	459.653709	482.6282871	304.4173401
SMc04112	1189.498129	1209.61432	1147.183466
SMc04111	1184.555616	1224.397528	1028.685441
SMc04110	634.2891684	733.0732361	592.490125
SMc04109	1304.823432	1520.931305	1123.688168
SMc02820	1479.458891	1519.192104	1239.121589
SMc02821	546.9714387	591.3283518	386.1401159
SMc02822	528.848891	535.6739187	430.066108
SMc02823	1.647504333	0.869600517	0
SMc02824	644.1741944	667.8531973	600.6624026
SMc02825	2463.018978	2597.496745	2405.714214
SMc02826	510.7263434	494.8026944	515.8750226
SMc02827	1141.720503	1220.919126	1345.361198
