Gene_ID	1021_a	1021_b	1021_c
SMa0002	3126.963225	2451.403858	2205.493414
SMa0005	599.6915774	518.2819083	480.1213082
SMa0007	268.5432063	223.487333	219.6299601
SMa0009	533.791404	466.9754778	451.5183366
SMa0011	476.1287524	510.4555037	562.8656187
SMa0013	196.0530157	222.6177324	225.7591683
SMa0015	375.630988	369.5802199	385.1185812
SMa0017	319.6158407	263.4889568	251.2975358
SMa5000	57.66265167	43.48002587	49.03366552
SMa0018	0	0	0
SMa0020	1.647504333	0	1.021534698
SMa0021	265.2481977	261.7497557	225.7591683
SMa0022	103.792773	97.39525794	76.61510237
SMa5014	166.3979377	163.4848973	157.3163435
SMa0025	797.3920974	814.8156848	674.2129008
SMa0026	52.72013867	35.65362121	54.14133901
SMa0028	294.9032757	317.4041888	316.6757565
SMa0031	151.5703987	138.2664823	120.5410944
SMa0034	1000.03513	975.6917805	831.5292444
SMa0036	1261.988319	1507.017697	1463.859223
SMa0039	41.18760834	35.65362121	57.2059431
SMa0041	617.814125	463.4970758	505.6596756
SMa0044	568.388995	456.5402716	591.4685903
SMa0045	1313.060954	1164.395093	1120.623564
SMa5015	19.770052	26.95761604	28.60297155
SMa0050	3.295008667	2.608801552	4.086138793
NP_435269.1	3.295008667	2.608801552	4.086138793
SMa0052	4.942513	3.478402069	8.172277586
NP_435270.1	4.942513	3.478402069	8.172277586
SMa0056	72.49019067	47.82802845	63.33515129
SMa0058	123.562825	111.3088662	98.06733103
SMa0059	59.310156	59.13283518	71.50742888
SMa0060	88.965234	74.78564449	79.67970646
SMa0062	123.562825	121.7440724	132.7995108
SMa0063	126.8578337	126.092075	117.4764903
SMa0064	229.0031023	234.7921397	231.8883765
SMa0065	140.0378683	113.9176678	135.8641149
SMa0067	85.67022534	101.7432605	107.2611433
SMa0070	44.482617	45.2192269	54.14133901
SMa0072	57.66265167	70.43764191	81.72277586
SMa0074	59.310156	48.69762897	58.2274778
SMa0077	41.18760834	38.26242276	46.99059612
SMa0078	416.8185964	392.1898333	384.0970465
SMa0079	39.540104	42.61042535	50.05520021
SMa0081	60.95766034	53.91523208	70.48589418
SMa0082	289.9607627	232.1833381	252.3190705
SMa0083	168.045442	154.7888921	170.5962946
SMa0085	166.3979377	168.7025004	209.4146131
SMa0087	62.60516467	65.2200388	75.59356767
SMa0089	345.97591	323.4913925	293.1804584
SMa0091	102.1452687	93.91685588	80.70124116
SMa0093	558.503969	542.6307228	566.9517575
SMa0095	561.7989777	598.2851559	719.1604276
SMa0097	265.2481977	293.0553744	297.2665972
SMa0101	2133.518112	1952.253161	2396.520402
SMa0104	1489.343917	1194.831111	1318.801295
SMa0105	151.5703987	144.3536859	151.1871353
SMa0106	120.2678163	120.0048714	137.9071843
SMa0108	182.872981	192.1817143	236.99605
SMa0110	209.2330503	220.8785314	223.7160989
SMa5001	29.655078	13.91360828	21.45222866
SMa0112	23.06506067	23.47921397	25.53836746
SMa0113	413.5235877	360.8842147	341.1925892
SMa0114	97.20275567	73.04644346	67.42129008
SMa0116	118.620312	96.52565743	121.5626291
SMa0117	44.482617	33.91442018	33.71064504
SMa0118	293.2557713	246.0969464	232.9099112
SMa0121	23.06506067	13.91360828	17.36608987
SMa0123	23.06506067	26.08801552	37.79678384
SMa0124	225.7080937	200.8777195	224.7376336
NP_435310.1	225.7080937	200.8777195	224.7376336
SMa0125	97.20275567	102.612861	75.59356767
SMa0126	260.3056847	280.8809671	178.7685722
SMa0128	156.5129117	168.7025004	162.424017
SMa0130	169.6929463	162.6152967	116.4549556
SMa0132	64.252669	66.08963932	48.01213082
SMa0134	46.13012134	62.61123725	58.2274778
SMa5002	23.06506067	18.26161086	21.45222866
SMa0136	65.90017334	68.69844087	73.55049827
SMa0137	606.2815947	619.1555684	442.3245243
SMa0139	166.3979377	130.4400776	144.0363925
SMa0142	319.6158407	346.1010059	346.3002627
SMa0143	199.3480243	144.3536859	126.6703026
SMa0144	339.3858927	338.2746013	344.2571933
SMa0146	135.0953553	100.0040595	90.91658814
SMa0148	13.18003467	9.565605691	15.32302047
SMa0149	171.3404507	155.6584926	148.1225312
SMa0150	118.620312	109.5696652	147.1009965
SMa0151	87.31772967	58.26323466	118.498025
SMa0155	16.47504333	11.30480673	15.32302047
SMa0157	72.49019067	65.2200388	60.2705472
SMa0160	69.195182	86.96005174	80.70124116
SMa0162	168.045442	123.4832735	156.2948088
SMa0163	411.8760834	395.6682354	376.9463037
SMa0164	144.9803813	124.352874	101.1319351
SMa0166	199.3480243	191.3121138	190.0054539
SMa0168	153.217903	134.7880802	134.8425802
SMa0169	133.447851	104.3520621	144.0363925
SMa0171	100.4977643	85.2208507	88.87351875
SMa0172	334.4433797	331.3177971	265.5990215
SMa0175	95.55525134	89.56885329	83.76584526
SMa0179	110.3827903	119.1352709	118.498025
SMa0180	439.883657	403.4946401	323.8264993
SMa0181	1955.587644	1509.626498	1413.804022
