Gene_ID	1021_a	1021_b	1021_c
SMb21652	161.4554247	120.0048714	164.4670864
SMb21653	9.885026	13.91360828	16.34455517
SMb21654	24.712565	17.39201035	15.32302047
SMb21655	199.3480243	157.3976936	211.4576825
SMb20002	97.20275567	81.74244863	92.95965754
SMb20003	210.8805547	207.8345236	252.3190705
SMb20004	95.55525134	116.5264693	114.4118862
SMb20005	46.13012134	52.17603104	42.90445733
SMb20006	57.66265167	48.69762897	60.2705472
SMb20007	41.18760834	18.26161086	51.07673491
SMb20008	62.60516467	66.95923984	83.76584526
SMb20009	285.0182497	352.1882095	370.8170955
SMb20010	62.60516467	53.04563156	82.74431056
SMb20011	21.41755633	19.13121138	32.68911034
SMb20012	80.72771234	46.95842794	89.89505345
SMb20013	215.8230677	228.7049361	220.6514948
SMb20014	212.528059	226.0961345	280.922042
SMb20015	212.528059	264.3585573	244.1467929
SMb20016	200.9955287	208.7041242	197.1561968
SMb20017	383.8685097	442.6266633	462.7552183
SMb20018	1171.375581	1032.215814	1059.331482
SMb20019	2774.397297	2616.627957	2967.558298
SMb20020	10659.35304	9616.042521	9996.738557
SMb20021	133.447851	100.87366	125.6487679
SMb20022	186.1679897	204.3561216	197.1561968
SMb20023	1438.271283	1544.410519	1680.424579
SMb20024	224.0605893	199.1385185	245.1683276
SMb20025	140.0378683	102.612861	113.3903515
SMb20026	29.655078	42.61042535	39.83985323
SMb20027	186.1679897	200.8777195	214.5222866
SMb20028	405.286066	370.4498204	313.6111524
SMb20029	103.792773	118.2656704	114.4118862
SMb20030	238.8881283	220.8785314	261.5128828
SMb20031	23.06506067	20.87041242	22.47376336
SMb20032	116.9728077	116.5264693	109.3042127
SMb20033	220.7655807	207.8345236	217.5868907
SMb20034	13.18003467	12.17440724	17.36608987
SMb20035	23.06506067	20.87041242	42.90445733
SMb20036	92.26024267	66.08963932	87.85198405
SMb20037	34.597591	24.34881449	41.88292263
SMb20038	26.36006933	23.47921397	25.53836746
SMb20039	329.5008667	330.4481966	357.5371444
SMb20040	49.42513	44.34962639	49.03366552
SMb20041	67.54767767	63.48083777	60.2705472
SMb20042	785.859567	793.9452724	924.4889019
SMb20043	222.413085	225.226534	226.780703
SMb20044	278.4282323	246.9665469	268.6636256
SMb20045	1003.330139	956.5605691	899.9720692
SMb20046	1385.551144	1397.448031	1273.853769
SMb20047	156.5129117	181.7465081	150.1656006
