Name	Synonym	Expression WT
thrL	b0001	261
thrA	b0002	1314
thrB	b0003	809
thrC	b0004	356
yaaX	b0005	14
yaaA	b0006	43
yaaJ	b0007	30
talB	b0008	1428
mog	b0009	53
satP	b0010	9
yaaW	b0011	2
yaaI	b0013	2
dnaK	b0014	841
dnaJ	b0015	169
insL1	b0016	20
mokC	b0018	26
nhaA	b0019	54
nhaR	b0020	180
insB1	b0021	1
insA	b0022	38
rpsT	b0023	1612
yaaY	b0024	40
ribF	b0025	71
ileS	b0026	312
lspA	b0027	120
fkpB	b0028	446
ispH	b0029	87
rihC	b0030	11
dapB	b0031	165
carA	b0032	50
carB	b0033	64
caiF	b0034	3
caiE	b0035	1
caiD	b0036	2
caiC	b0037	4
caiB	b0038	34
caiA	b0039	22
caiT	b0040	1
fixA	b0041	0
fixB	b0042	3
fixC	b0043	0
fixX	b0044	0
yaaU	b0045	0
kefF	b0046	14
kefC	b0047	19
folA	b0048	212
apaH	b0049	74
apaG	b0050	1029
rsmA	b0051	133
pdxA	b0052	739
surA	b0053	506
lptD	b0054	650
djlA	b0055	26
rluA	b0058	9
rapA	b0059	33
polB	b0060	26
araD	b0061	0
araA	b0062	0
araB	b0063	0
araC	b0064	38
yabI	b0065	10
thiQ	b0066	4
thiP	b0067	7
thiB	b0068	42
sgrR	b0069	82
setA	b0070	4
leuD	b0071	915
leuC	b0072	1935
leuB	b0073	1455
leuA	b0074	2881
leuL	b0075	166
leuO	b0076	26
ilvI	b0077	91
ilvH	b0078	25
cra	b0080	39
mraZ	b0081	325
rsmH	b0082	293
ftsL	b0083	475
ftsI	b0084	77
murE	b0085	142
murF	b0086	151
mraY	b0087	26
murD	b0088	41
ftsW	b0089	28
murG	b0090	82
murC	b0091	82
ddlB	b0092	319
ftsQ	b0093	70
ftsA	b0094	46
ftsZ	b0095	696
lpxC	b0096	973
secM	b0097	1171
secA	b0098	115
mutT	b0099	36
yacG	b0101	72
zapD	b0102	96
coaE	b0103	209
guaC	b0104	141
hofC	b0106	4
hofB	b0107	28
ppdD	b0108	1
nadC	b0109	146
ampD	b0110	199
ampE	b0111	18
aroP	b0112	95
pdhR	b0113	1142
aceE	b0114	906
aceF	b0115	267
lpd	b0116	431
yacH	b0117	19
acnB	b0118	300
yacL	b0119	171
speD	b0120	870
speE	b0121	1200
yacC	b0122	181
cueO	b0123	22
gcd	b0124	136
hpt	b0125	87
can	b0126	6537
yadG	b0127	151
yadH	b0128	15
yadI	b0129	8
yadE	b0130	29
panD	b0131	1587
yadD	b0132	5
panC	b0133	112
panB	b0134	841
yadC	b0135	8
yadK	b0136	7
yadL	b0137	2
yadM	b0138	2
htrE	b0139	1
yadV	b0140	0
yadN	b0141	0
folK	b0142	18
pcnB	b0143	255
gluQ	b0144	20
dksA	b0145	219
sfsA	b0146	73
ligT	b0147	133
hrpB	b0148	9
mrcB	b0149	97
fhuA	b0150	733
fhuC	b0151	20
fhuD	b0152	37
fhuB	b0153	6
hemL	b0154	189
clcA	b0155	53
erpA	b0156	62
yadS	b0157	3
btuF	b0158	24
mtn	b0159	276
dgt	b0160	24
degP	b0161	73
cdaR	b0162	1
yaeH	b0163	210
yaeI	b0164	11
dapD	b0166	382
glnD	b0167	293
map	b0168	2050
rpsB	b0169	591
tsf	b0170	177
pyrH	b0171	37
frr	b0172	82
dxr	b0173	81
ispU	b0174	44
cdsA	b0175	30
rseP	b0176	52
bamA	b0177	373
skp	b0178	734
lpxD	b0179	530
fabZ	b0180	114
lpxA	b0181	81
lpxB	b0182	34
rnhB	b0183	55
dnaE	b0184	31
accA	b0185	165
ldcC	b0186	108
yaeR	b0187	421
tilS	b0188	14
rof	b0189	162
yaeQ	b0190	30
arfB	b0191	58
nlpE	b0192	75
yaeF	b0193	11
proS	b0194	84
tsaA	b0195	13
rcsF	b0196	277
metQ	b0197	262
metI	b0198	247
metN	b0199	31
gmhB	b0200	54
rrsH	b0201	0
ileV	b0202	33
alaV	b0203	0
rrlH	b0204	1
rrfH	b0205	0
aspU	b0206	9
dkgB	b0207	25
yafC	b0208	53
yafD	b0209	247
yafE	b0210	84
mltD	b0211	102
gloB	b0212	55
yafS	b0213	19
rnhA	b0214	74
dnaQ	b0215	321
aspV	b0216	19
yafT	b0217	4
yafV	b0219	33
ivy	b0220	72
fadE	b0221	117
gmhA	b0222	139
yafJ	b0223	511
yafK	b0224	266
yafQ	b0225	700
dinJ	b0226	1621
yafL	b0227	4
rayT	b0228	26
dinB	b0231	29
yafN	b0232	65
yafO	b0233	47
yafP	b0234	20
pepD	b0237	220
gpt	b0238	120
frsA	b0239	104
phoE	b0241	2
proB	b0242	148
proA	b0243	311
thrW	b0244	40
ykfI	b0245	1
yafW	b0246	1
ykfG	b0247	2
yafX	b0248	0
ykfF	b0249	3
ykfB	b0250	1019
yafY	b0251	51
yafZ	b0252	0
ykfA	b0253	22
perR	b0254	12
insI1	b0256	17
insH1	b0259	187
mmuP	b0260	5
mmuM	b0261	21
afuC	b0262	6
insB1	b0264	3
insA	b0265	49
yagA	b0267	0
yagE	b0268	5
yagF	b0269	4
yagG	b0270	8
yagH	b0271	4
yagI	b0272	27
argF	b0273	25
insB1	b0274	3
insA	b0275	46
yagK	b0277	2
yagL	b0278	0
yagM	b0279	0
yagN	b0280	285
intF	b0281	110
paoD	b0283	11
paoC	b0284	29
paoB	b0285	36
paoA	b0286	25
yagU	b0287	139
ykgJ	b0288	4
ecpE	b0289	8
ecpD	b0290	24
ecpC	b0291	5
ecpB	b0292	2
ecpA	b0293	13
ecpR	b0294	0
ykgL	b0295	1
ykgM	b0296	5
insE1	b0298	18
insF1	b0299	7
rclC	b0301	0
rclB	b0303	2
rclA	b0304	18
rclR	b0305	2
ykgE	b0306	5
ykgF	b0307	3
ykgG	b0308	1
ykgH	b0310	0
betA	b0311	32
betB	b0312	196
betI	b0313	188
betT	b0314	34
yahA	b0315	4
yahB	b0316	42
yahC	b0317	0
yahD	b0318	4
yahE	b0319	1
yahF	b0320	2
yahG	b0321	1
yahI	b0323	1
yahJ	b0324	23
yahK	b0325	143
yahL	b0326	1
yahM	b0327	9
yahN	b0328	1
yahO	b0329	10365
prpR	b0330	7
prpB	b0331	1
prpC	b0333	0
prpD	b0334	1
prpE	b0335	0
codB	b0336	18
codA	b0337	163
cynR	b0338	16
cynT	b0339	10
cynS	b0340	6
cynX	b0341	1
lacA	b0342	5
lacY	b0343	1
lacZ	b0344	0
lacI	b0345	71
mhpR	b0346	13
mhpA	b0347	2
mhpB	b0348	1
mhpC	b0349	12
mhpD	b0350	23
mhpF	b0351	59
mhpE	b0352	75
mhpT	b0353	3
yaiL	b0354	20
frmB	b0355	17
frmA	b0356	116
frmR	b0357	55
yaiO	b0358	26
insC1	b0360	147
insD1	b0361	5
yaiP	b0363	6
yaiS	b0364	0
tauA	b0365	0
tauB	b0366	4
tauC	b0367	3
tauD	b0368	19
hemB	b0369	437
insF1	b0372	10
insE1	b0373	28
yaiV	b0375	0
ampH	b0376	25
sbmA	b0377	54
yaiW	b0378	24
yaiY	b0379	4
yaiZ	b0380	55
ddlA	b0381	117
iraP	b0382	117
phoA	b0383	45
psiF	b0384	201
yaiC	b0385	1
proC	b0386	128
yaiI	b0387	76
aroL	b0388	176
yaiA	b0389	406
aroM	b0390	27
yaiE	b0391	274
rdgC	b0393	70
mak	b0394	9
araJ	b0396	22
sbcC	b0397	24
sbcD	b0398	27
phoB	b0399	9
phoR	b0400	10
brnQ	b0401	97
proY	b0402	30
malZ	b0403	30
acpH	b0404	35
queA	b0405	22
tgt	b0406	98
yajC	b0407	396
secD	b0408	57
secF	b0409	141
yajD	b0410	257
tsx	b0411	57
yajI	b0412	112
nrdR	b0413	372
ribD	b0414	209
ribE	b0415	228
nusB	b0416	12
thiL	b0417	29
pgpA	b0418	33
yajO	b0419	374
dxs	b0420	177
ispA	b0421	298
xseB	b0422	349
thiI	b0423	127
yajL	b0424	52
panE	b0425	190
yajQ	b0426	94
yajR	b0427	5
cyoE	b0428	64
cyoD	b0429	37
cyoC	b0430	256
cyoB	b0431	195
cyoA	b0432	633
ampG	b0433	12
yajG	b0434	246
bolA	b0435	193
tig	b0436	508
clpP	b0437	253
clpX	b0438	586
lon	b0439	416
hupB	b0440	484
ppiD	b0441	548
ybaV	b0442	9
fadM	b0443	63
queC	b0444	18
ybaE	b0445	21
cof	b0446	151
ybaO	b0447	22
mdlA	b0448	13
mdlB	b0449	4
glnK	b0450	12
amtB	b0451	2
tesB	b0452	72
ybaY	b0453	714
ybaZ	b0454	55
ffs	b0455	5
ybaA	b0456	13
ylaB	b0457	81
ylaC	b0458	92
maa	b0459	81
hha	b0460	552
tomB	b0461	393
acrB	b0462	72
acrA	b0463	188
acrR	b0464	10
mscK	b0465	24
ybaM	b0466	7
priC	b0467	13
ybaN	b0468	155
apt	b0469	73
dnaX	b0470	322
ybaB	b0471	524
recR	b0472	227
htpG	b0473	868
adk	b0474	173
hemH	b0475	26
aes	b0476	4
gsk	b0477	70
ybaL	b0478	49
fsr	b0479	16
ushA	b0480	66
ybaK	b0481	10
ybaP	b0482	58
ybaQ	b0483	123
copA	b0484	33
glsA	b0485	42
ybaT	b0486	40
cueR	b0487	166
ybbJ	b0488	175
qmcA	b0489	157
fetA	b0490	96
fetB	b0491	20
ybbN	b0492	425
ybbO	b0493	209
tesA	b0494	114
ybbA	b0495	58
ybbP	b0496	23
rhsD	b0497	10
ybbC	b0498	2
mnmH	b0503	13
allS	b0504	14
allA	b0505	2
allR	b0506	50
gcl	b0507	3
hyi	b0508	4
glxR	b0509	1
ybbW	b0511	0
allB	b0512	9
ybbY	b0513	12
glxK	b0514	1
allE	b0515	37
allC	b0516	59
allD	b0517	0
fdrA	b0518	0
ylbF	b0520	4
ybcF	b0521	0
purK	b0522	30
purE	b0523	83
lpxH	b0524	32
ppiB	b0525	3078
cysS	b0526	143
ybcI	b0527	0
ybcJ	b0528	6
folD	b0529	187
sfmA	b0530	0
sfmC	b0531	0
sfmD	b0532	0
sfmH	b0533	0
sfmF	b0534	0
sfmZ	b0535	2
argU	b0536	64
intD	b0537	58
insE1	b0540	21
insF1	b0541	7
emrE	b0543	6
ybcK	b0544	0
ybcL	b0545	4
ybcM	b0546	76
ybcN	b0547	0
ninE	b0548	1
ybcO	b0549	2
rusA	b0550	0
quuD	b0551	1
insH1	b0552	187
essD	b0554	3
rrrD	b0555	3
rzpD	b0556	8
borD	b0557	233
ybcV	b0558	12
ybcW	b0559	6
nohD	b0560	1
appY	b0564	6
ompT	b0565	2957
envY	b0566	25
ybcH	b0567	11
nfrA	b0568	22
nfrB	b0569	17
cusS	b0570	37
cusR	b0571	26
cusC	b0572	103
cusF	b0573	191
cusB	b0574	42
cusA	b0575	9
pheP	b0576	27
ybdG	b0577	17
nfsB	b0578	282
ybdF	b0579	177
ybdJ	b0580	35
ybdK	b0581	544
insL1	b0582	19
entD	b0583	136
fepA	b0584	416
fes	b0585	212
entF	b0586	355
fepE	b0587	1
fepC	b0588	96
fepG	b0589	110
fepD	b0590	96
entS	b0591	36
fepB	b0592	298
entC	b0593	324
entE	b0594	465
entB	b0595	268
entA	b0596	469
entH	b0597	105
cstA	b0598	24
ybdH	b0599	9
ybdL	b0600	22
ybdM	b0601	43
ybdN	b0602	15
ybdO	b0603	4
dsbG	b0604	87
ahpC	b0605	2358
ahpF	b0606	429
uspG	b0607	652
ybdR	b0608	21
rnk	b0610	22
rna	b0611	240
citT	b0612	1
citG	b0613	0
citX	b0614	0
citF	b0615	0
citE	b0616	0
citD	b0617	0
citC	b0618	0
citA	b0619	12
citB	b0620	39
dcuC	b0621	19
pagP	b0622	9
cspE	b0623	1199
flc	b0624	45
tatE	b0627	290
lipA	b0628	119
ybeF	b0629	8
lipB	b0630	48
ybeD	b0631	185
dacA	b0632	180
rlpA	b0633	75
mrdB	b0634	27
mrdA	b0635	51
rlmH	b0636	26
rsfS	b0637	300
cobC	b0638	23
nadD	b0639	359
holA	b0640	191
lptE	b0641	194
leuS	b0642	167
ybeL	b0643	484
ybeQ	b0644	0
ybeR	b0645	0
djlB	b0646	1
ybeT	b0647	2
ybeU	b0648	4
djlC	b0649	2
hscC	b0650	7
rihA	b0651	66
gltL	b0652	30
gltK	b0653	26
gltJ	b0654	15
gltI	b0655	653
insH1	b0656	186
lnt	b0657	120
ybeX	b0658	145
ybeY	b0659	345
ybeZ	b0660	761
miaB	b0661	105
ubiF	b0662	30
glnX	b0664	29
glnV	b0665	43
metU	b0666	36
glnW	b0668	40
glnU	b0670	57
leuW	b0672	60
metT	b0673	132
asnB	b0674	65
