Locus_tag	Translation_start	Translation_stop	Strand	Gene	Raw_counts_replicate_1	Raw_counts_replicate_2	RPKM
b0001	190	255	+	thrL	5783	4619	117
b0002	337	2799	+	thrA	110959	88494	60
b0003	2801	3733	+	thrB	33616	24374	46
b0004	3734	5020	+	thrC	45095	37198	47
b0005	5234	5530	+	yaaX	7751	7999	40
b0006	5683	6459	-	yaaA	49441	50967	97
b0007	6529	7959	-	yaaJ	46858	35371	42
b0008	8238	9191	+	talB	937649	815158	1366
b0009	9306	9893	+	mog	38611	31102	88
b0010	9928	10494	-	yaaH	42889	39389	108
b0011	10643	11356	-	yaaW	17196	20711	40
b0013	11382	11786	-	yaaI	8720	10714	36
b0014	12163	14079	+	dnaK	1756171	1439705	1236
b0015	14168	15298	+	dnaJ	184046	139293	211
b0016	15445	16557	+	insL1	172359	140537	208
b4412	16751	16903	-	hokC	23150	19240	206
b0018	16751	16960	-	mokC	27602	22793	178
b4413	16952	17006	+	sokC	13105	8547	289
b0019	17489	18655	+	nhaA	112593	86314	126
b0020	18715	19620	+	nhaR	39044	38751	64
b0021	19811	20314	-	insB1	51070	46281	144
b0022	20233	20508	-	insA	98458	66992	441
b0023	20815	21078	-	rpsT	281390	248723	1494
b0024	21181	21399	+	yaaY	28456	27691	192
b0025	21407	22348	+	ribF	137452	114446	198
b0026	22391	25207	+	ileS	320789	257754	152
b0027	25207	25701	+	lspA	73739	60818	202
b0028	25826	26275	+	fkpB	142837	124811	442
b0029	26277	27227	+	ispH	105983	81164	146
b0030	27293	28207	+	rihC	25824	20762	38
b0031	28374	29195	+	dapB	34325	31287	59
b0032	29651	30799	+	carA	30828	23962	35
b0033	30817	34038	+	carB	56817	48480	24
b0034	34300	34695	+	caiF	54876	48837	195
b0035	34781	35371	-	caiE	14593	11332	32
b0036	35377	36162	-	caiD	12059	13898	25
b0037	36271	37824	-	caiC	41280	36621	37
b0038	37898	39115	-	caiB	42647	35634	48
b0039	39244	40386	-	caiA	39637	31997	46
b0040	40417	41931	-	caiT	28847	20213	24
b0041	42403	43173	+	fixA	9509	9852	19
b0042	43188	44129	+	fixB	11217	9545	16
b0043	44180	45466	+	fixC	17188	17286	20
b0044	45463	45750	+	fixX	4926	5549	27
b0045	45807	47138	+	yaaU	45852	34369	45
b0046	47246	47776	+	kefF	12149	9957	31
b0047	47769	49631	+	kefC	78206	69351	59
b0048	49823	50302	+	folA	75960	78030	240
b0049	50380	51222	-	apaH	41189	33870	66
b0050	51229	51606	-	apaG	35815	31624	133
b0051	51609	52430	-	rsmA	108996	97661	187
b0052	52427	53416	-	pdxA	78514	60257	104
b0053	53416	54702	-	surA	398828	367080	443
b0054	54755	57109	-	lptD	684872	591428	403
b0055	57364	58179	+	djlA	52470	45853	90
b4659	58474	59269	+	yabP	74612	67937	133
b0058	59687	60346	-	rluA	60640	39265	111
b0059	60358	63264	-	rapA	258369	197106	116
b0060	63429	65780	-	polB	71572	49471	38
b0061	65855	66550	-	araD	10753	9878	22
b0062	66835	68337	-	araA	20487	19720	20
b0063	68348	70048	-	araB	25342	20685	20
b0064	70387	71265	+	araC	120188	69108	157
b0065	71351	72115	+	yabI	102509	75056	171
b0066	72229	72927	-	thiQ	46234	33221	84
b0067	72911	74521	-	thiP	49088	39043	41
b0068	74497	75480	-	thiB	31961	27942	45
b0069	75644	77299	-	sgrR	29450	27692	26
b4662	77388	77519	+	sgrT	3775	2916	38
b4577	77367	77593	+	sgrS	7869	6145	46
b0070	77621	78799	+	setA	130779	93076	140
b0071	78848	79453	-	leuD	20950	16553	46
b0072	79464	80864	-	leuC	26774	23210	27
b0073	80867	81958	-	leuB	21085	15663	25
b0074	81958	83529	-	leuA	35178	33967	33
b0075	83622	83708	-	leuL	1030	1298	20
b0076	84368	85312	+	leuO	14847	17177	26
b0077	85630	87354	+	ilvI	41832	34001	33
b0078	87357	87848	+	ilvH	20462	19743	61
b0080	88028	89032	+	cra	182992	130452	230
b0081	89634	90092	+	mraZ	239549	178220	672
b0082	90094	91035	+	rsmH	164187	160299	257
b0083	91032	91397	+	ftsL	81611	76383	322
b0084	91413	93179	+	ftsI	232498	175331	171
b0085	93166	94653	+	murE	255096	170101	210
b0086	94650	96008	+	murF	219435	147027	198
b0087	96002	97084	+	mraY	156196	117714	187
